itm_no_item|无 效 项 目 
itm_gekokujo_okegawa_half_5_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_6|桶 侧 腹 当 
itm_gekokujo_okegawa_half_6_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_uesugi|上 杉 腹 当 
itm_gekokujo_okegawa_half_uesugi_pl|上 杉 腹 当 
itm_gekokujo_okegawa_half_date|伊 达 腹 当 
itm_gekokujo_okegawa_half_date_pl|伊 达 腹 当 
itm_gekokujo_okegawa_half_oda|织 田 腹 当 
itm_gekokujo_okegawa_half_oda_pl|织 田 腹 当 
itm_gekokujo_okegawa_half_mori|毛 利 腹 当 
itm_gekokujo_okegawa_half_mori_pl|毛 利 腹 当 
itm_gekokujo_okegawa_half_takeda|武 田 腹 当 
itm_gekokujo_okegawa_half_takeda_pl|武 田 腹 当 
itm_gekokujo_okegawa_half_tokugawa|德 川 腹 当 
itm_gekokujo_okegawa_half_tokugawa_pl|德 川 腹 当 
itm_gekokujo_mogami_half_1|最 上 腹 当 
itm_gekokujo_mogami_half_1_pl|最 上 腹 当 
itm_gekokujo_mogami_half_2|最 上 腹 当 
itm_gekokujo_mogami_half_2_pl|最 上 腹 当 
itm_gekokujo_mogami_half_3|最 上 腹 当 
itm_gekokujo_mogami_half_3_pl|最 上 腹 当 
itm_gekokujo_tatami_short_1|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_1_pl|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_2|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_2_pl|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_3|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_3_pl|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_4|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_4_pl|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_5|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_5_pl|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_6|畳 胴 家 臣 甲 
itm_gekokujo_tatami_short_6_pl|畳 胴 家 臣 甲 
itm_gekokujo_okegawa_short_1|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_1_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_2|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_2_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_3|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_3_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_4|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_4_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_5|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_5_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_6|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_6_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_7|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_7_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_8|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_8_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_9|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_9_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_10|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_10_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_11|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_11_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_12|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_12_pl|桶 侧 家 臣 甲 
itm_gekokujo_okegawa_short_uesugi|上 杉 家 臣 甲 
itm_gekokujo_okegawa_short_uesugi_pl|上 杉 家 臣 甲 
itm_gekokujo_okegawa_short_oda|织 田 家 臣 甲 
itm_gekokujo_okegawa_short_oda_pl|织 田 家 臣 甲 
itm_gekokujo_okegawa_short_mori|毛 利 家 臣 甲 
itm_gekokujo_okegawa_short_mori_pl|毛 利 家 臣 甲 
itm_gekokujo_okegawa_short_takeda|武 田 家 臣 甲 
itm_gekokujo_okegawa_short_takeda_pl|武 田 家 臣 甲 
itm_gekokujo_okegawa_short_tokugawa|德 川 家 臣 甲 
itm_gekokujo_okegawa_short_tokugawa_pl|德 川 家 臣 甲 
itm_gekokujo_mogami_short_1|最 上 家 臣 甲 
itm_gekokujo_mogami_short_1_pl|最 上 家 臣 甲 
itm_gekokujo_mogami_short_2|最 上 家 臣 甲 
itm_gekokujo_mogami_short_2_pl|最 上 家 臣 甲 
itm_gekokujo_mogami_short_3|最 上 家 臣 甲 
itm_gekokujo_mogami_short_3_pl|最 上 家 臣 甲 
itm_gekokujo_mogami_short_4|最 上 家 臣 甲 
itm_gekokujo_mogami_short_4_pl|最 上 家 臣 甲 
itm_gekokujo_mogami_short_5|最 上 家 臣 甲 
itm_gekokujo_mogami_short_5_pl|最 上 家 臣 甲 
itm_gekokujo_mogami_short_6|最 上 家 臣 甲 
itm_gekokujo_mogami_short_6_pl|最 上 家 臣 甲 
itm_gekokujo_yukinoshita_short_1|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_1_pl|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_2|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_2_pl|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_3|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_3_pl|雪 雪 下 家 臣 甲 
itm_gekokujo_yukinoshita_short_date|伊 达 家 臣 甲 
itm_gekokujo_yukinoshita_short_date_pl|伊 达 家 臣 甲 
itm_gekokujo_okegawa_long_1|桶 侧 胴 
itm_gekokujo_okegawa_long_1_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_2|桶 侧 胴 
itm_gekokujo_okegawa_long_2_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_3|桶 侧 胴 
itm_gekokujo_okegawa_long_3_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_4|桶 侧 胴 
itm_gekokujo_okegawa_long_4_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_5|桶 侧 胴 
itm_gekokujo_okegawa_long_5_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_6|桶 侧 胴 
itm_gekokujo_okegawa_long_6_pl|桶 侧 胴 
itm_gekokujo_mogami_long_1|最 上 甲 
itm_gekokujo_mogami_long_1_pl|最 上 甲 
itm_gekokujo_mogami_long_2|最 上 甲 
itm_gekokujo_mogami_long_2_pl|最 上 甲 
itm_gekokujo_mogami_long_3|最 上 甲 
itm_gekokujo_mogami_long_3_pl|最 上 甲 
itm_gekokujo_nuinobe_long_1|缝 延 胴 
itm_gekokujo_nuinobe_long_1_pl|缝 延 胴 
itm_gekokujo_nuinobe_long_2|缝 延 胴 
itm_gekokujo_nuinobe_long_2_pl|缝 延 胴 
itm_gekokujo_nuinobe_long_3|缝 延 胴 
itm_gekokujo_nuinobe_long_3_pl|缝 延 胴 
itm_gekokujo_hishinui_long_1|菱 缝 胴 
itm_gekokujo_hishinui_long_1_pl|菱 缝 胴 
itm_gekokujo_hishinui_long_2|菱 缝 胴 
itm_gekokujo_hishinui_long_2_pl|菱 缝 胴 
itm_gekokujo_hishinui_long_3|菱 缝 胴 
itm_gekokujo_hishinui_long_3_pl|菱 缝 胴 
itm_gekokujo_yukinoshita_long_1|雪 雪 下 胴 
itm_gekokujo_yukinoshita_long_1_pl|雪 雪 下 胴 
itm_gekokujo_yukinoshita_long_2|雪 雪 下 胴 
itm_gekokujo_yukinoshita_long_2_pl|雪 雪 下 胴 
itm_gekokujo_yukinoshita_long_3|雪 雪 下 胴 
itm_gekokujo_yukinoshita_long_3_pl|雪 雪 下 胴 
itm_gekokujo_kebiki_1|胴 丸 铠 
itm_gekokujo_kebiki_1_pl|胴 丸 铠 
itm_gekokujo_kebiki_2|胴 丸 铠 
itm_gekokujo_kebiki_2_pl|胴 丸 铠 
itm_gekokujo_kebiki_3|胴 丸 铠 
itm_gekokujo_kebiki_3_pl|胴 丸 铠 
itm_gekokujo_kebiki_4|胴 丸 铠 
itm_gekokujo_kebiki_4_pl|胴 丸 铠 
itm_gekokujo_kebiki_5|胴 丸 铠 
itm_gekokujo_kebiki_5_pl|胴 丸 铠 
itm_gekokujo_kebiki_6|胴 丸 铠 
itm_gekokujo_kebiki_6_pl|胴 丸 铠 
itm_gekokujo_kebiki_7|胴 丸 铠 
itm_gekokujo_kebiki_7_pl|胴 丸 铠 
itm_gekokujo_kebiki_8|胴 丸 铠 
itm_gekokujo_kebiki_8_pl|胴 丸 铠 
itm_gekokujo_kebiki_9|胴 丸 铠 
itm_gekokujo_kebiki_9_pl|胴 丸 铠 
itm_gekokujo_kebiki_10|胴 丸 铠 
itm_gekokujo_kebiki_10_pl|胴 丸 铠 
itm_gekokujo_kebiki_11|胴 丸 铠 
itm_gekokujo_kebiki_11_pl|胴 丸 铠 
itm_gekokujo_kebiki_12|胴 丸 铠 
itm_gekokujo_kebiki_12_pl|胴 丸 铠 
itm_gekokujo_kebiki_13|胴 丸 铠 
itm_gekokujo_kebiki_13_pl|胴 丸 铠 
itm_gekokujo_kebiki_14|胴 丸 铠 
itm_gekokujo_kebiki_14_pl|胴 丸 铠 
itm_gekokujo_kebiki_15|胴 丸 铠 
itm_gekokujo_kebiki_15_pl|胴 丸 铠 
itm_gekokujo_kebiki_16|胴 丸 铠 
itm_gekokujo_kebiki_16_pl|胴 丸 铠 
itm_gekokujo_kebiki_17|胴 丸 铠 
itm_gekokujo_kebiki_17_pl|胴 丸 铠 
itm_gekokujo_kebiki_18|胴 丸 铠 
itm_gekokujo_kebiki_18_pl|胴 丸 铠 
itm_gekokujo_kebiki_19|胴 丸 铠 
itm_gekokujo_kebiki_19_pl|胴 丸 铠 
itm_gekokujo_kebiki_20|胴 丸 铠 
itm_gekokujo_kebiki_20_pl|胴 丸 铠 
itm_gekokujo_kebiki_21|胴 丸 铠 
itm_gekokujo_kebiki_21_pl|胴 丸 铠 
itm_gekokujo_nanban_1|南 蛮 胴 
itm_gekokujo_nanban_1_pl|南 蛮 胴 
itm_gekokujo_nanban_2|南 蛮 胴 
itm_gekokujo_nanban_2_pl|南 蛮 胴 
itm_gekokujo_nanban_3|南 蛮 胴 
itm_gekokujo_nanban_3_pl|南 蛮 胴 
itm_gekokujo_nanban_4|南 蛮 胴 
itm_gekokujo_nanban_4_pl|南 蛮 胴 
itm_gekokujo_nanban_5|南 蛮 胴 
itm_gekokujo_nanban_5_pl|南 蛮 胴 
itm_gekokujo_nanban_6|南 蛮 胴 
itm_gekokujo_nanban_6_pl|南 蛮 胴 
itm_gekokujo_sugegasa_1|伊 予 盔 
itm_gekokujo_sugegasa_1_pl|伊 予 盔 
itm_gekokujo_monk_headwrap|白 头 巾 
itm_gekokujo_monk_headwrap_pl|白 头 巾 
itm_gekokujo_ninja_headwrap|黑 头 巾 
itm_gekokujo_ninja_headwrap_pl|黑 头 巾 
itm_gekokujo_jingasa_1|阵 笠 
itm_gekokujo_jingasa_1_pl|阵 笠 
itm_gekokujo_jingasa_2|阵 笠 
itm_gekokujo_jingasa_2_pl|阵 笠 
itm_gekokujo_jingasa_3|阵 笠 
itm_gekokujo_jingasa_3_pl|阵 笠 
itm_gekokujo_jingasa_4|阵 笠 
itm_gekokujo_jingasa_4_pl|阵 笠 
itm_gekokujo_jingasa_5|阵 笠 
itm_gekokujo_jingasa_5_pl|阵 笠 
itm_gekokujo_jingasa_6|阵 笠 
itm_gekokujo_jingasa_6_pl|阵 笠 
itm_gekokujo_jingasa_7|阵 笠 
itm_gekokujo_jingasa_7_pl|阵 笠 
itm_gekokujo_jingasa_8|阵 笠 
itm_gekokujo_jingasa_8_pl|阵 笠 
itm_gekokujo_jingasa_9|阵 笠 
itm_gekokujo_jingasa_9_pl|阵 笠 
itm_gekokujo_jingasa_uesugi|上 杉 阵 笠 
itm_gekokujo_jingasa_uesugi_pl|上 杉 阵 笠 
itm_gekokujo_jingasa_date|伊 达 阵 笠 
itm_gekokujo_jingasa_date_pl|伊 达 阵 笠 
itm_gekokujo_jingasa_oda|织 田 阵 笠 
itm_gekokujo_jingasa_oda_pl|织 田 阵 笠 
itm_gekokujo_jingasa_mori|毛 利 阵 笠 
itm_gekokujo_jingasa_mori_pl|毛 利 阵 笠 
itm_gekokujo_jingasa_takeda|武 田 阵 笠 
itm_gekokujo_jingasa_takeda_pl|武 田 阵 笠 
itm_gekokujo_jingasa_tokugawa|德 川 阵 笠 
itm_gekokujo_jingasa_tokugawa_pl|德 川 阵 笠 
itm_gekokujo_jingasa_miyoshi|三 好 阵 笠 
itm_gekokujo_jingasa_miyoshi_pl|三 好 阵 笠 
itm_gekokujo_jingasa_amako|尼 子 阵 笠 
itm_gekokujo_jingasa_amako_pl|尼 子 阵 笠 
itm_gekokujo_jingasa_otomo|大 友 阵 笠 
itm_gekokujo_jingasa_otomo_pl|大 友 阵 笠 
itm_gekokujo_jingasa_nanbu|南 部 阵 笠 
itm_gekokujo_jingasa_nanbu_pl|南 部 阵 笠 
itm_gekokujo_jingasa_asakura|朝 仓 阵 笠 
itm_gekokujo_jingasa_asakura_pl|朝 仓 阵 笠 
itm_gekokujo_jingasa_chosokabe|长 宗 我 部 阵 笠 
itm_gekokujo_jingasa_chosokabe_pl|长 宗 我 部 阵 笠 
itm_gekokujo_jingasa_hojo|北 条 阵 笠 
itm_gekokujo_jingasa_hojo_pl|北 条 阵 笠 
itm_gekokujo_jingasa_mogami|最 上 阵 笠 
itm_gekokujo_jingasa_mogami_pl|最 上 阵 笠 
itm_gekokujo_jingasa_shimazu|岛 津 阵 笠 
itm_gekokujo_jingasa_shimazu_pl|岛 津 阵 笠 
itm_gekokujo_jingasa_ryuzoji|龙 造 寺 阵 笠 
itm_gekokujo_jingasa_ryuzoji_pl|龙 造 寺 阵 笠 
itm_gekokujo_jingasa_satake|佐 竹 阵 笠 
itm_gekokujo_jingasa_satake_pl|佐 竹 阵 笠 
itm_gekokujo_jingasa_satomi|里 见 阵 笠 
itm_gekokujo_jingasa_satomi_pl|里 见 阵 笠 
itm_gekokujo_jingasa_ukita|宇 喜 多 阵 笠 
itm_gekokujo_jingasa_ukita_pl|宇 喜 多 阵 笠 
itm_gekokujo_jingasa_ikko|一 向 宗 阵 笠 
itm_gekokujo_jingasa_ikko_pl|一 向 宗 阵 笠 
itm_gekokujo_hari_o_1|御 贷 头 形 兜 
itm_gekokujo_hari_o_1_pl|御 贷 头 形 兜 
itm_gekokujo_hari_o_2|御 贷 头 形 兜 
itm_gekokujo_hari_o_2_pl|御 贷 头 形 兜 
itm_gekokujo_hari_o_3|御 贷 头 形 兜 
itm_gekokujo_hari_o_3_pl|御 贷 头 形 兜 
itm_gekokujo_suji_o_1|御 贷 筋 兜 
itm_gekokujo_suji_o_1_pl|御 贷 筋 兜 
itm_gekokujo_suji_o_2|御 贷 筋 兜 
itm_gekokujo_suji_o_2_pl|御 贷 筋 兜 
itm_gekokujo_suji_o_3|御 贷 筋 兜 
itm_gekokujo_suji_o_3_pl|御 贷 筋 兜 
itm_gekokujo_shinomi_o_1|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_1_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_2|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_2_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_3|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_3_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_zunari_o_1|御 贷 日 根 野 型 兜 
itm_gekokujo_zunari_o_1_pl|御 贷 日 根 野 型 兜 
itm_gekokujo_zunari_o_2|御 贷 日 根 野 型 兜 
itm_gekokujo_zunari_o_2_pl|御 贷 日 根 野 型 兜 
itm_gekokujo_zunari_o_3|御 贷 日 根 野 型 兜 
itm_gekokujo_zunari_o_3_pl|御 贷 日 根 野 型 兜 
itm_gekokujo_kabuto3_o_1|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_1_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_2|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_2_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_3|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_3_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_1|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_1_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_2|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_2_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_3|御 贷 阿 古 陀 兜 
itm_gekokujo_shinomi_o_h_3_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_zunari_o_h_1|御 贷 日 根 野 形 兜 
itm_gekokujo_zunari_o_h_1_pl|御 贷 日 根 野 形 兜 
itm_gekokujo_zunari_o_h_2|御 贷 日 根 野 形 兜 
itm_gekokujo_zunari_o_h_2_pl|御 贷 日 根 野 形 兜 
itm_gekokujo_zunari_o_h_3|御 贷 日 根 野 形 兜 
itm_gekokujo_zunari_o_h_3_pl|御 贷 日 根 野 形 兜 
itm_gekokujo_kabuto3_o_h_1|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_h_1_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_h_2|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_h_2_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_h_3|御 贷 阿 古 陀 兜 
itm_gekokujo_kabuto3_o_h_3_pl|御 贷 阿 古 陀 兜 
itm_gekokujo_eboshi_h_1|官 帽 型 兜 
itm_gekokujo_eboshi_h_1_pl|官 帽 型 兜 
itm_gekokujo_eboshi_h_2|官 帽 型 兜 
itm_gekokujo_eboshi_h_2_pl|官 帽 型 兜 
itm_gekokujo_eboshi_h_3|官 帽 型 兜 
itm_gekokujo_eboshi_h_3_pl|官 帽 型 兜 
itm_gekokujo_shinomi_h_1|阿 古 陀 兜 
itm_gekokujo_shinomi_h_1_pl|阿 古 陀 兜 
itm_gekokujo_shinomi_h_2|阿 古 陀 兜 
itm_gekokujo_shinomi_h_2_pl|阿 古 陀 兜 
itm_gekokujo_shinomi_h_3|阿 古 陀 兜 
itm_gekokujo_shinomi_h_3_pl|阿 古 陀 兜 
itm_gekokujo_zunari_h_1|日 根 野 型 兜 
itm_gekokujo_zunari_h_1_pl|日 根 野 型 兜 
itm_gekokujo_zunari_h_2|日 根 野 型 兜 
itm_gekokujo_zunari_h_2_pl|日 根 野 型 兜 
itm_gekokujo_zunari_h_3|日 根 野 型 兜 
itm_gekokujo_zunari_h_3_pl|日 根 野 型 兜 
itm_gekokujo_eboshi_m_1|官 帽 型 兜 
itm_gekokujo_eboshi_m_1_pl|官 帽 型 兜 
itm_gekokujo_eboshi_m_2|官 帽 型 兜 
itm_gekokujo_eboshi_m_2_pl|官 帽 型 兜 
itm_gekokujo_eboshi_m_3|官 帽 型 兜 
itm_gekokujo_eboshi_m_3_pl|官 帽 型 兜 
itm_gekokujo_shinomi_m_1|阿 古 陀 兜 
itm_gekokujo_shinomi_m_1_pl|阿 古 陀 兜 
itm_gekokujo_shinomi_m_2|阿 古 陀 兜 
itm_gekokujo_shinomi_m_2_pl|阿 古 陀 兜 
itm_gekokujo_shinomi_m_3|阿 古 陀 兜 
itm_gekokujo_shinomi_m_3_pl|阿 古 陀 兜 
itm_gekokujo_zunari_m_1|日 根 野 型 兜 
itm_gekokujo_zunari_m_1_pl|日 根 野 型 兜 
itm_gekokujo_zunari_m_2|日 根 野 型 兜 
itm_gekokujo_zunari_m_2_pl|日 根 野 型 兜 
itm_gekokujo_zunari_m_3|日 根 野 型 兜 
itm_gekokujo_zunari_m_3_pl|日 根 野 型 兜 
itm_gekokujo_kabuto1_h_1|筋 兜 
itm_gekokujo_kabuto1_h_1_pl|筋 兜 
itm_gekokujo_kabuto1_h_2|筋 兜 
itm_gekokujo_kabuto1_h_2_pl|筋 兜 
itm_gekokujo_kabuto1_h_3|筋 兜 
itm_gekokujo_kabuto1_h_3_pl|筋 兜 
itm_gekokujo_kabuto1_m_1|筋 兜 
itm_gekokujo_kabuto1_m_1_pl|筋 兜 
itm_gekokujo_kabuto1_m_2|筋 兜 
itm_gekokujo_kabuto1_m_2_pl|筋 兜 
itm_gekokujo_kabuto1_m_3|筋 兜 
itm_gekokujo_kabuto1_m_3_pl|筋 兜 
itm_gekokujo_kabuto2_h_1|筋 兜 
itm_gekokujo_kabuto2_h_1_pl|筋 兜 
itm_gekokujo_kabuto2_h_2|筋 兜 
itm_gekokujo_kabuto2_h_2_pl|筋 兜 
itm_gekokujo_kabuto2_h_3|筋 兜 
itm_gekokujo_kabuto2_h_3_pl|筋 兜 
itm_gekokujo_kabuto2_m_1|筋 兜 
itm_gekokujo_kabuto2_m_1_pl|筋 兜 
itm_gekokujo_kabuto2_m_2|筋 兜 
itm_gekokujo_kabuto2_m_2_pl|筋 兜 
itm_gekokujo_kabuto2_m_3|筋 兜 
itm_gekokujo_kabuto2_m_3_pl|筋 兜 
itm_gekokujo_kabuto3_h_1|阿 古 陀 兜 
itm_gekokujo_kabuto3_h_1_pl|阿 古 陀 兜 
itm_gekokujo_kabuto3_h_2|阿 古 陀 兜 
itm_gekokujo_kabuto3_h_2_pl|阿 古 陀 兜 
itm_gekokujo_kabuto3_h_3|阿 古 陀 兜 
itm_gekokujo_kabuto3_h_3_pl|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_1|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_1_pl|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_2|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_2_pl|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_3|阿 古 陀 兜 
itm_gekokujo_kabuto3_m_3_pl|阿 古 陀 兜 
itm_gekokujo_kabuto_nanban_h_1|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_1_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_2|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_2_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_3|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_3_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_4|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_4_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_5|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_5_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_6|桃 型 兜 
itm_gekokujo_kabuto_nanban_h_6_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_1|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_1_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_2|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_2_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_3|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_3_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_4|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_4_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_5|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_5_pl|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_6|桃 型 兜 
itm_gekokujo_kabuto_nanban_m_6_pl|桃 型 兜 
itm_gekokujo_kabuto_unique_1|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_1_pl|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_2|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_2_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_3|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_3_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_4|将 军 的 阿 古 陀 型 兜 
itm_gekokujo_kabuto_unique_4_pl|将 军 的 阿 古 陀 型 兜 
itm_gekokujo_kabuto_unique_5|将 军 的 日 野 根 型 兜 
itm_gekokujo_kabuto_unique_5_pl|将 军 的 日 野 根 型 兜 
itm_gekokujo_kabuto_unique_6|将 军 的 日 野 根 型 兜 
itm_gekokujo_kabuto_unique_6_pl|将 军 的 日 野 根 型 兜 
itm_gekokujo_kabuto_unique_7|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_7_pl|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_8|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_8_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_9|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_9_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_10|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_10_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_11|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_11_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_12|将 军 的 根 日 野 型 兜 
itm_gekokujo_kabuto_unique_12_pl|将 军 的 根 日 野 型 兜 
itm_gekokujo_kabuto_unique_13|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_13_pl|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_14|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_14_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_15|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_15_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_16|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_16_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_17|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_17_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_18|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_18_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_19|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_19_pl|将 军 的 官 帽 型 兜 
itm_gekokujo_kabuto_unique_20|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_20_pl|将 军 的 筋 兜 
itm_gekokujo_kabuto_unique_21|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_21_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_22|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_22_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_23|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_23_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_24|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_24_pl|将 军 的 阿 古 坨 兜 
itm_gekokujo_kabuto_unique_25|将 军 的 桃 型 兜 
itm_gekokujo_kabuto_unique_25_pl|将 军 的 桃 型 兜 
itm_gekokujo_kabuto_unique_26|将 军 的 桃 型 兜 
itm_gekokujo_kabuto_unique_26_pl|将 军 的 桃 型 兜 
itm_gekokujo_kabuto_unique_27|将 军 的 桃 型 兜 
itm_gekokujo_kabuto_unique_27_pl|将 军 的 桃 型 兜 
